iter	Passed	Remaining
164	263	1335
165	264	1328
166	264	1321
167	265	1314
168	265	1307
169	266	1300
170	266	1294
171	267	1287
172	267	1280
173	268	1274
174	269	1270
175	270	1264
176	270	1258
177	271	1252
178	271	1246
179	272	1239
180	272	1234
181	273	1228
182	273	1222
183	274	1216
184	275	1211
185	276	1208
186	276	1202
187	277	1197
188	277	1192
189	278	1187
190	279	1182
191	279	1177
192	280	1172
193	280	1167
194	281	1161
195	281	1156
196	282	1151
197	283	1146
198	283	1141
199	284	1136
200	284	1131
201	285	1126
202	285	1121
203	286	1116
204	286	1111
205	287	1106
206	287	1102
207	288	1097
208	289	1093
209	289	1089
210	290	1085
211	290	1080
212	291	1075
213	291	1071
214	292	1066
215	292	1063
216	293	1059
217	294	1055
218	294	1051
219	295	1047
220	296	1043
221	296	1039
222	297	1035
223	297	1031
224	298	1027
225	299	1024
226	299	1021
227	300	1017
228	301	1014
229	301	1010
230	302	1007
231	303	1004
232	304	1001
233	304	997
234	305	994
235	305	990
236	306	986
237	306	982
238	307	979
239	308	977
240	309	973
241	309	969
242	310	966
243	310	963
244	311	959
245	311	956
246	312	952
247	312	948
248	313	945
249	314	942
250	314	939
251	315	935
252	315	932
253	316	929
254	316	925
255	317	922
256	317	919
257	318	915
258	318	912
259	319	909
260	319	905
261	320	902
262	321	899
263	321	896
264	322	893
265	322	890
266	323	888
267	323	884
268	324	881
269	325	878
270	325	875
271	326	872
272	326	870
273	327	867
274	327	864
275	328	861
276	329	858
277	329	855
278	330	852
279	330	849
280	331	847
281	331	844
282	332	841
283	332	838
284	333	836
285	334	834
286	334	831
287	335	828
288	335	825
289	336	823
290	336	820
291	337	818
292	338	815
293	338	813
294	339	812
295	340	810
296	341	807
297	341	804
298	342	802
299	342	799
300	343	796
301	343	794
302	344	791
303	344	789
304	345	786
305	345	784
306	346	781
307	346	779
308	347	776
309	347	774
310	348	771
311	348	769
312	349	766
313	349	764
314	350	761
315	350	759
316	351	757
317	352	754
318	352	752
319	353	750
320	353	748
321	354	746
322	355	744
323	355	742
324	356	739
325	356	737
326	357	735
327	358	733
328	359	732
329	359	730
330	360	728
331	360	726
332	361	723
333	361	721
334	362	719
335	362	717
336	363	715
337	363	712
338	364	710
339	365	708
340	365	706
341	366	704
342	366	702
343	367	700
344	367	698
345	368	697
346	369	695
347	370	693
348	371	692
349	372	690
350	372	689
351	373	687
352	374	686
353	374	684
354	375	682
355	376	680
356	377	679
357	378	679
358	379	677
359	379	675
360	380	673
361	380	671
362	381	669
363	381	667
364	382	665
365	382	663
366	383	661
367	384	660
368	385	658
369	385	656
370	386	655
371	387	653
372	387	651
373	388	649
374	388	647
375	389	645
376	389	644
377	390	642
378	391	641
379	392	639
380	392	637
381	393	636
382	393	634
383	394	632
384	394	630
385	395	628
386	395	626
387	396	625
388	396	623
389	397	621
390	398	620
391	398	618
392	399	617
393	400	615
394	400	614
395	401	612
396	402	611
397	403	610
398	404	608
399	404	607
400	405	606
401	406	604
402	406	602
403	407	601
404	408	599
405	408	597
406	409	596
407	409	594
408	410	593
409	411	591
410	411	590
411	412	588
412	412	586
413	413	584
414	413	583
415	414	582
416	415	580
417	416	579
418	417	578
419	417	576
420	418	575
421	418	573
422	419	571
423	419	570
424	420	569
425	421	567
426	421	566
427	422	564
428	423	563
429	423	561
430	424	559
431	424	558
432	425	556
433	425	555
434	426	553
435	426	552
436	427	550
437	428	549
438	428	548
439	430	547
440	431	547
441	432	546
442	433	544
443	434	543
444	434	542
445	435	541
446	436	540
447	437	539
448	438	538
449	439	537
450	440	535
451	440	534
452	441	532
453	441	531
454	442	529
455	442	528
456	443	526
457	443	525
458	444	523
459	445	522
460	446	521
461	446	520
462	447	518
463	447	517
464	448	516
465	449	514
466	449	513
467	450	512
468	451	511
469	451	509
470	452	508
471	452	506
472	453	505
473	453	503
474	454	502
475	455	500
476	455	499
477	456	498
478	456	496
479	457	495
480	457	494
481	458	492
482	458	491
483	459	489
484	460	488
485	460	487
486	461	486
487	462	484
488	462	483
489	463	482
490	463	480
491	464	479
492	464	478
493	465	476
494	466	476
495	467	474
496	467	473
497	468	472
498	468	470
499	469	469
500	470	468
501	470	466
502	471	465
503	471	464
504	472	462
505	472	461
506	473	460
507	473	458
508	474	457
509	474	456
510	475	455
511	476	454
512	477	452
513	477	451
514	478	450
515	478	449
516	479	447
517	479	446
518	480	445
519	481	444
520	482	443
521	482	442
522	483	440
523	483	439
524	484	438
525	484	436
526	485	435
527	485	434
528	486	433
529	486	431
530	487	430
531	488	429
532	488	428
533	488	426
534	489	425
535	490	424
536	491	423
537	492	422
538	492	421
539	493	420
540	494	419
541	494	418
542	495	416
543	496	415
544	496	414
545	497	413
546	498	412
547	498	411
548	499	410
549	499	408
550	500	407
551	500	406
552	501	405
553	501	404
554	502	402
555	502	401
556	503	400
557	503	399
558	504	397
559	505	396
560	505	395
561	506	394
562	507	393
563	507	392
564	508	391
565	508	390
566	509	388
567	509	387
568	510	386
569	511	385
570	512	384
571	513	383
572	513	382
573	514	381
574	515	380
575	515	379
576	516	378
577	516	377
578	517	376
579	517	374
580	518	373
581	518	372
582	519	371
583	519	370
584	520	369
585	521	368
586	521	367
587	522	366
588	523	365
589	523	364
590	524	362
591	524	361
592	525	360
593	526	359
594	526	358
595	527	357
596	528	356
597	528	355
598	529	354
599	529	353
600	530	352
601	530	350
602	531	349
603	531	348
604	532	347
605	533	346
606	533	345
607	534	344
608	534	343
609	535	342
610	536	341
611	536	340
612	537	339
613	538	338
614	538	337
615	539	336
616	540	335
617	540	334
618	541	333
619	542	332
620	542	331
621	543	330
622	543	329
623	544	328
624	544	326
625	545	325
626	545	324
627	546	323
628	546	322
629	547	321
630	547	320
631	548	319
632	548	318
633	549	317
634	549	316
635	550	315
636	551	314
637	552	313
638	552	312
639	553	311
640	554	310
641	554	309
642	555	308
643	555	307
644	556	306
645	557	305
646	557	304
647	558	303
648	558	302
649	559	301
650	559	300
651	560	299
652	561	298
653	561	297
654	562	296
655	562	295
656	563	293
657	563	292
658	564	291
659	564	290
660	565	289
661	565	288
662	566	288
663	567	287
664	568	286
665	568	285
666	569	284
667	570	283
668	570	282
669	571	281
670	572	280
671	572	279
672	573	278
673	574	277
674	575	276
675	575	276
676	576	275
677	577	274
678	578	273
679	578	272
680	579	271
681	580	270
682	581	269
683	582	269
684	583	268
685	583	267
686	584	266
687	585	265
688	586	264
689	586	263
690	587	262
691	587	261
692	588	260
693	588	259
694	589	258
695	589	257
696	590	256
697	590	255
698	591	254
699	591	253
700	592	252
701	592	251
702	593	250
703	594	249
704	594	248
705	595	247
706	595	246
707	596	245
708	597	245
709	597	244
710	598	243
711	598	242
712	599	241
713	600	240
714	600	239
715	601	238
716	601	237
717	602	236
718	602	235
719	603	234
720	603	233
721	604	232
722	604	231
723	605	230
724	605	229
725	606	228
726	606	227
727	607	226
728	607	225
729	608	224
730	608	224
731	609	223
732	609	222
733	610	221
734	610	220
735	611	219
736	612	218
737	613	217
738	613	216
739	614	215
740	614	214
741	615	213
742	615	212
743	616	212
744	616	211
745	617	210
746	617	209
747	618	208
748	618	207
749	619	206
750	619	205
751	620	204
752	620	203
753	621	202
754	621	201
755	622	200
756	622	199
757	623	198
758	623	198
759	624	197
760	624	196
761	625	195
762	625	194
763	626	193
764	626	192
765	627	191
766	628	190
767	628	189
768	629	189
769	630	188
770	630	187
771	631	186
772	631	185
773	632	184
774	632	183
775	633	182
776	633	181
777	634	180
778	634	180
779	635	179
780	635	178
781	636	177
782	636	176
783	637	175
784	637	174
785	638	173
786	638	172
787	639	172
788	639	171
789	640	170
790	640	169
791	641	168
792	642	167
793	642	166
794	643	165
795	643	164
796	644	164
797	644	163
798	645	162
799	645	161
800	646	160
801	646	159
802	647	158
803	647	157
804	648	157
805	648	156
806	649	155
807	649	154
808	650	153
809	650	152
810	651	151
811	651	150
812	652	150
813	653	149
814	653	148
815	654	147
816	654	146
817	655	145
818	655	144
819	656	144
820	657	143
821	657	142
822	658	141
823	659	140
824	659	139
825	660	139
826	660	138
827	661	137
828	661	136
829	662	135
830	662	134
831	663	133
832	663	133
833	664	132
834	664	131
835	665	130
836	665	129
837	666	128
838	666	127
839	667	127
840	667	126
841	668	125
842	669	124
843	669	123
844	670	122
845	670	122
846	671	121
847	671	120
848	672	119
849	672	118
850	673	117
851	673	117
852	674	116
853	675	115
854	676	114
855	677	113
856	677	113
857	678	112
858	678	111
859	679	110
860	679	109
861	680	108
862	680	108
863	681	107
864	681	106
865	682	105
866	682	104
867	683	103
868	683	103
869	684	102
870	684	101
871	685	100
872	686	99
873	686	99
874	687	98
875	687	97
876	688	96
877	689	95
878	689	94
879	690	94
880	691	93
881	692	92
882	693	91
883	693	91
884	694	90
885	694	89
886	695	88
887	695	87
888	696	86
889	696	86
890	697	85
891	698	84
892	699	83
893	699	82
894	700	82
895	700	81
896	701	80
897	701	79
898	702	78
899	702	78
900	703	77
901	704	76
902	705	75
903	705	74
904	706	74
905	706	73
906	707	72
907	707	71
908	708	70
909	708	70
910	709	69
911	709	68
912	710	67
913	711	66
914	712	66
915	712	65
916	713	64
917	713	63
918	714	62
919	715	62
920	715	61
921	716	60
922	717	59
923	717	59
924	718	58
925	719	57
926	720	56
927	721	55
928	722	55
929	723	54
930	724	53
931	725	52
932	725	52
933	726	51
934	726	50
935	727	49
936	727	48
937	728	48
938	728	47
939	729	46
940	729	45
941	730	44
942	731	44
943	731	43
944	732	42
945	732	41
946	733	41
947	733	40
948	734	39
949	734	38
950	736	37
951	736	37
952	737	36
953	738	35
954	738	34
955	739	34
956	739	33
957	740	32
958	740	31
959	741	30
960	742	30
961	742	29
962	743	28
963	743	27
964	744	27
965	744	26
966	745	25
967	745	24
968	746	23
969	746	23
970	747	22
971	747	21
972	748	20
973	749	19
974	749	19
975	750	18
976	751	17
977	751	16
978	752	16
979	752	15
980	753	14
981	753	13
982	754	13
983	754	12
984	755	11
985	755	10
986	756	9
987	757	9
988	757	8
989	758	7
990	758	6
991	759	6
992	759	5
993	760	4
994	760	3
995	761	3
996	761	2
997	762	1
998	762	0
999	763	0
